No,Questions,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,I don't know,NA,Valid Responses,Agreement Rate,Likert Score
0,Functionality [C1],3,2,21,226,191,3,274,443,0.9413092550790068,4.354401805869075
1,How to use this class [C2],3,4,36,221,178,4,274,442,0.9027149321266968,4.282805429864253
2,Implementation details [C3],10,60,165,140,64,5,276,439,0.4646924829157175,3.428246013667426
3,Business background [C4],9,29,123,159,118,6,276,438,0.632420091324201,3.7945205479452055
4,Workflow diagram [C5],10,40,116,183,90,6,275,439,0.621867881548975,3.6902050113895215
5,Technical Debt [C6],9,13,95,226,97,4,276,440,0.7340909090909091,3.8840909090909093
6,Class with complex logic [C7],4,3,34,196,203,3,277,440,0.9068181818181819,4.343181818181818
7,User-defined Exceptions [C8],5,8,66,216,138,6,281,433,0.8175519630484989,4.094688221709007
8,Classes with design pattern [C9],4,4,52,195,183,2,280,438,0.863013698630137,4.2534246575342465
9,Utility Classes [C10],5,8,52,218,157,3,277,440,0.8522727272727273,4.168181818181818
10,Functionality [M1],3,2,26,321,258,3,107,610,0.9491803278688524,4.359016393442623
11,How to use this method [M2],4,10,58,297,237,5,109,606,0.8811881188118812,4.242574257425742
12,Implementation details [M3],12,69,255,181,89,4,110,606,0.44554455445544555,3.438943894389439
13,Example cases [M4],4,32,196,247,125,7,109,604,0.6158940397350994,3.756622516556291
14,Input&Output [M5],7,15,61,291,233,3,110,607,0.8632619439868204,4.199341021416804
15,Design Rationale [M6],7,29,171,266,134,5,108,607,0.6589785831960461,3.808896210873147
16,Workflow diagram [M7],13,55,233,213,91,6,109,605,0.5024793388429752,3.51900826446281
17,Technical Debt [M8],9,28,172,268,128,5,110,605,0.6545454545454545,3.7900826446280993
18,Complex method [M9],3,8,37,278,282,2,110,608,0.9210526315789473,4.3618421052631575
19,Tricky method [M10],3,5,84,292,213,12,111,597,0.8458961474036851,4.184254606365159
20,Deprecated Method [M11],4,20,148,272,157,8,111,601,0.7138103161397671,3.928452579034942
21,Key logic or algorithm method [M12],2,6,70,291,234,7,110,603,0.8706467661691543,4.24212271973466
22,Methods in Interfaces [M13],3,6,75,296,228,2,110,608,0.8618421052631579,4.217105263157895
23,Non self-explanatory methods [M14],4,0,49,308,245,5,109,606,0.9125412541254125,4.303630363036303
24,Functionality [S1],3,5,19,94,70,2,527,191,0.8586387434554974,4.167539267015707
25,Implementation details [S2],5,13,37,82,52,1,530,189,0.708994708994709,3.8624338624338623
26,Design Rationale [S3],3,4,19,97,68,2,527,191,0.8638743455497382,4.167539267015707
27,Technical Debt [S4],7,9,35,85,57,1,526,193,0.7357512953367875,3.911917098445596
28,Warning [S5],5,5,32,84,64,1,529,190,0.7789473684210526,4.036842105263158
29,Complex Statement [S6],3,0,11,83,96,1,526,193,0.927461139896373,4.393782383419689
30,Harding Coding [S7],4,2,19,91,76,2,526,192,0.8697916666666666,4.213541666666667
31,Tricky Statement [S8],3,1,19,84,83,4,526,190,0.8789473684210526,4.278947368421052
32,Special Statement [S9],3,3,15,87,84,2,526,192,0.890625,4.28125
33,Lambda Expression [S10],5,10,37,80,59,2,527,191,0.7277486910994765,3.931937172774869
34,Regular Expression [S11],4,3,29,85,70,1,528,191,0.8115183246073299,4.12041884816754
